일	기기	캠페인 유형	캠페인	광고그룹	광고 라벨	노출수	클릭수	통화 코드	비용	전환	TrueView 조회수
2026-05-02	태블릿	디맨드젠 캠페인	DM_04_IELTS ACADEMY_IMG (수도권)	04-01_IELTS ACADEMY_IMG (수도권)	i_dm_freeclass_260423	32	1	KRW	532	0.00	0
2026-05-02	휴대전화	디맨드젠 캠페인	DM_04_IELTS ACADEMY_IMG (수도권)	04-01_IELTS ACADEMY_IMG (수도권)	i_dm_freeleveltest_260423	63	0	KRW	48	0.00	0
2026-05-02	태블릿	디맨드젠 캠페인	DM_04_IELTS ACADEMY_IMG (수도권)	04-01_IELTS ACADEMY_IMG (수도권)	i_dm_freeleveltest_260423	6	0	KRW	0	0.00	0
2026-05-02	휴대전화	디맨드젠 캠페인	DM_04_IELTS ACADEMY_IMG (수도권)	04-01_IELTS ACADEMY_IMG (수도권)	i_dm_hightscore_260423	75	5	KRW	802	2.00	0
2026-05-02	태블릿	디맨드젠 캠페인	DM_04_IELTS ACADEMY_IMG (수도권)	04-01_IELTS ACADEMY_IMG (수도권)	i_dm_hightscore_260423	9	0	KRW	3	0.00	0
2026-05-02	컴퓨터	디맨드젠 캠페인	DM_04_IELTS ACADEMY_IMG (수도권)	04-02_IELTS ACADEMY_IMG (수도권)	i_dm_academystandard_260423	2	0	KRW	1	0.00	0
2026-05-02	휴대전화	디맨드젠 캠페인	DM_04_IELTS ACADEMY_IMG (수도권)	04-02_IELTS ACADEMY_IMG (수도권)	i_dm_academystandard_260423	"5,066"	160	KRW	12617	3.00	0
2026-05-02	태블릿	디맨드젠 캠페인	DM_04_IELTS ACADEMY_IMG (수도권)	04-02_IELTS ACADEMY_IMG (수도권)	i_dm_academystandard_260423	84	0	KRW	77	0.00	0
2026-05-02	휴대전화	디맨드젠 캠페인	DM_04_IELTS ACADEMY_IMG (수도권)	04-02_IELTS ACADEMY_IMG (수도권)	i_dm_boostscorefast_universe_260423	478	22	KRW	1610	1.00	0
2026-05-02	태블릿	디맨드젠 캠페인	DM_04_IELTS ACADEMY_IMG (수도권)	04-02_IELTS ACADEMY_IMG (수도권)	i_dm_boostscorefast_universe_260423	5	0	KRW	3	0.00	0
2026-05-02	휴대전화	디맨드젠 캠페인	DM_04_IELTS ACADEMY_IMG (수도권)	04-02_IELTS ACADEMY_IMG (수도권)	i_dm_ieltsstart_260423	43	1	KRW	260	0.00	0
2026-05-02	태블릿	디맨드젠 캠페인	DM_04_IELTS ACADEMY_IMG (수도권)	04-02_IELTS ACADEMY_IMG (수도권)	i_dm_ieltsstart_260423	4	0	KRW	1	0.00	0
2026-05-02	컴퓨터	디맨드젠 캠페인	DM_04_IELTS ACADEMY_IMG (수도권)	04-02_IELTS ACADEMY_IMG (수도권)	i_dm_academy_260423	1	0	KRW	0	0.00	0
2026-05-02	휴대전화	디맨드젠 캠페인	DM_04_IELTS ACADEMY_IMG (수도권)	04-02_IELTS ACADEMY_IMG (수도권)	i_dm_academy_260423	149	3	KRW	265	0.00	0
2026-05-02	태블릿	디맨드젠 캠페인	DM_04_IELTS ACADEMY_IMG (수도권)	04-02_IELTS ACADEMY_IMG (수도권)	i_dm_academy_260423	15	0	KRW	13	0.00	0
2026-05-02	컴퓨터	디맨드젠 캠페인	DM_01_IELTS ACADEMY_VID (수도권)	01-01_IELTS ACADEMY_VID (수도권)	v_dm_ielts7.5_260423	27	0	KRW	32	0.00	1
2026-05-02	휴대전화	디맨드젠 캠페인	DM_01_IELTS ACADEMY_VID (수도권)	01-01_IELTS ACADEMY_VID (수도권)	v_dm_ielts7.5_260423	509	36	KRW	5871	0.09	116
2026-05-02	태블릿	디맨드젠 캠페인	DM_01_IELTS ACADEMY_VID (수도권)	01-01_IELTS ACADEMY_VID (수도권)	v_dm_ielts7.5_260423	14	0	KRW	66	0.00	1
2026-05-02	컴퓨터	디맨드젠 캠페인	DM_01_IELTS ACADEMY_VID (수도권)	01-01_IELTS ACADEMY_VID (수도권)	v_dm_no1ielts_260423	30	0	KRW	75	0.00	2
2026-05-02	휴대전화	디맨드젠 캠페인	DM_01_IELTS ACADEMY_VID (수도권)	01-01_IELTS ACADEMY_VID (수도권)	v_dm_no1ielts_260423	476	21	KRW	4800	1.16	82
2026-05-02	태블릿	디맨드젠 캠페인	DM_01_IELTS ACADEMY_VID (수도권)	01-01_IELTS ACADEMY_VID (수도권)	v_dm_no1ielts_260423	20	0	KRW	93	0.00	2
